County Name,Total Consumption MMBtu,Total Expenditure US Dollars
Coos,3245950.874857943,71481376.0779596
Sherman,107040.09487972756,2403368.416772993
Union,1927531.7989969996,31322160.272773746
Deschutes,11377378.071548136,201475817.08525428
Gilliam,95149.54173240304,1592228.4497440516
Malheur,4414675.574514204,57600796.36428645
Washington,40391271.276944496,733086965.9745979
Douglas,7149851.962612234,133414534.12650895
Grant,306932.65300386463,6681828.258197305
Hood River,1479999.1782343346,25144980.31858388
Linn,9303110.390627388,155411589.81805715
Harney,292906.2644441892,6455337.321590913
Klamath,6094749.90079797,102306923.14485225
Jackson,13734004.550893582,266037377.66053244
Jefferson,3358066.322200074,50594659.29181094
Wheeler,73415.60866656732,1618573.542666045
Benton,5388590.0622685,95797682.02570793
Clackamas,27820451.961973,494986304.3477777
Clatsop,7491259.270590068,90890432.86300279
Marion,20936752.67730187,379761730.07463175
Wallowa,325392.30423128017,7822968.17702041
Morrow,3828054.9793449068,34303415.64817525
Wasco,1101063.613271587,18853648.415576182
Umatilla,4340725.77242358,72927671.8142981
Butte,13277933.38315342,360124939.02924645
Humboldt,6506362.370061581,174767702.43155125
Monterey,31524216.526931647,569832544.1546711
San Luis Obispo,20758095.3964428,424499402.8399355
San Mateo,35392946.06555098,986584125.882976
Santa Barbara,38070483.98187067,627115972.748318
Contra Costa,96776401.1405406,1799152254.4506016
Imperial,10330680.384001808,186111199.56998473
Lake,2202787.9813865847,73089767.61814758
Orange,177379665.03982985,3990405510.152573
Plumas,1328538.5162721681,33824709.4796378
Tehama,4789123.361915749,112025539.54731259
Colusa,5781937.203343546,66125605.73525295
San Joaquin,42573017.03896419,1047667284.6558555
Alpine,31322.47870246825,1127722.858082249
San Benito,2681362.894344385,72658957.3029907
San Diego,140870408.0062684,4013907497.8353724
El Dorado,8419003.493683146,246126965.52603194
Shasta,10003839.552613566,294280017.46730226
Sierra,1152945.3594651574,23654755.82820684
Sonoma,29711610.42019568,776873696.9687924
Calaveras,2134988.32013667,61935349.95830454
Modoc,329788.7610286837,10308361.351790601
Napa,10353525.48996953,281220788.760242
Santa Cruz,12201294.197994707,338355301.3823256
Kings,14373379.74001887,300111475.0808436
Merced,41331802.932767466,636822504.0191315
Yuba,2627369.942918629,84195822.86517563
Amador,3410195.0767298983,69335675.71932092
Glenn,2721274.2237781165,59595355.18087162
Mariposa,546703.1198512075,20006613.73637902
Sutter,5256195.67758476,133512759.90434
Del Norte,651734.8759253467,23742328.957477655
Marin,13998324.796136113,402371376.9189588
Lassen,570652.6837143123,23593657.945854127
Nevada,7413651.923049599,173068083.99717012
Sacramento,69706064.08200738,1713461021.5906436
Trinity,552696.1405146595,15978731.931480499
Madera,9495664.008661611,213070984.70566833
Stanislaus,40220464.08514545,874712968.1699157
Solano,26423330.789397687,694209061.7955195
Tulare,47622137.407263234,772436926.9199709
Inyo,2422522.1937142313,41869876.45682539
Los Angeles,641075030.3767221,12744237263.141
Placer,20933487.68935569,583342770.4785584
Siskiyou,3487916.8161355294,82589288.13243121
Tuolumne,1597396.2706092207,63192907.17158877
Mendocino,4164030.159307796,122987051.21669549
Riverside,134602757.5171246,3380956712.6475453
San Bernardino,144466125.96153587,2860587181.2659674
San Francisco,53468388.78897576,1533952232.8431067
Alameda,85239775.60236543,2303239742.4275346
Kern,424138075.96792984,4111164499.233737
Santa Clara,109491377.60415481,2879136326.912558
Fresno,72624962.6307099,1541153290.3845797
Mono,1379564.5631033743,20630224.83549515
Ventura,71247212.85592484,1138170242.3300984
Yolo,10433020.788053934,277940344.12175703
